Season,Team,Wins,Points,P%,RW,ROW,S/OW,GF,GA,GF/GP,GA/GP,PP%,PK%,NetPP%,NetPK%,Shots/GP,SA/GP,FOW%,Winner
2006,Anaheim Ducks,43,98,.598,37,40,3,251,222,3.06,2.71,18.1,83.5,15.4,85.3,31.5,29.6,50.8,Carolina Hurricanes
2006,Arizona Coyotes,38,81,.494,28,34,4,242,268,2.95,3.27,17.7,80.9,15.7,82.7,28.3,30.2,49.2,Carolina Hurricanes
2006,Boston Bruins,29,74,.451,23,27,2,228,258,2.78,3.15,14.8,83.7,12.4,85.6,30.6,32.1,52.0,Carolina Hurricanes
2006,Buffalo Sabres,52,110,.671,41,47,5,276,234,3.37,2.85,21.2,86.6,17.6,88.8,30.6,30.5,49.7,Carolina Hurricanes
2006,Calgary Flames,46103,.628,42,44,2,216,193,2.63,2.35,18.2,84.3,16.7,85.8,28.0,27.6,50.4,Carolina Hurricanes
2006,Carolina Hurricanes,52,112,.683,40,44,8,286,258,3.49,3.15,17.9,81.8,15.4,85.6,31.1,30.5,51.7,Carolina Hurricanes
2006,Chicago Blackhawks,26,65,.396,17,24,2,209,279,2.55,3.40,12.2,83.9,9.4,85.0,30.2,29.5,48.9,Carolina Hurricanes
2006,Colorado Avalanche,43,95,.579,37,40,3,280,251,3.41,3.06,18.8,84.6,16.3,87.0,30.0,29.5,48.1,Carolina Hurricanes
2006,Columbus Blue Jackets,35,74,.451,21,27,8,215,276,2.62,3.37,14.2,81.8,12.4,83.8,27.4,33.7,49.4,Carolina Hurricanes
2006,Dallas Stars,53,112,.683,38,41,12,253,217,3.09,2.65,17.7,83.7,16.3,85.7,28.5,25.6,50.3,Carolina Hurricanes
2006,Detroit Red Wings,58,124,.756,51,54,4,301,206,3.67,2.51,22.1,85.5,20.0,87.0,34.1,26.6,52.9,Carolina Hurricanes
2006,Edmonton Oilers,41,95,.579,28,34,7,249,242,3.04,2.95,18.1,84.1,17.1,87.2,29.8,25.5,53.4,Carolina Hurricanes
2006,Florida Panthers,37,85,.518,25,33,4,236,252,2.88,3.07,15.3,82.3,12.4,83.3,33.2,34.8,50.7,Carolina Hurricanes
2006,Los Angeles Kings,42,89,.543,32,36,6,243,269,2.96,3.28,14.2,78.7,12.0,81.8,29.2,30.0,49.9,Carolina Hurricanes
2006,Minnesota Wild,38,84,.512,32,33,5,226,212,2.76,2.59,17.0,87.4,15.5,89.9,26.8,30.0,48.3,Carolina Hurricanes
2006,Montreal Canadiens,42,93,.567,33,40,2,241,244,2.94,2.98,19.2,81.1,17.9,83.2,30.1,30.6,49.3,Carolina Hurricanes
2006,Nashville Predators,49,106,.646,40,43,6,253,224,3.09,2.73,18.4,84.6,15.8,86.9,29.0,32.5,53.8,Carolina Hurricanes
2006,New Jersey Devils,46,101,.616,33,37,9,233,225,2.84,2.74,17.8,81.9,16.4,82.8,29.2,29.3,49.5,Carolina Hurricanes
2006,New York Islanders,36,78,.476,24,27,9,221,275,2.70,3.35,16.9,79.2,13.6,80.3,30.3,31.1,48.7,Carolina Hurricanes
2006,New York Rangers,44,100,.610,33,37,7,250,211,3.05,2.57,18.9,83.7,16.8,84.6,29.9,28.8,47.5,Carolina Hurricanes
2006,Ottawa Senators,52,113,.689,48,50,2,312,205,3.80,2.50,20.8,84.7,18.6,89.9,34.3,28.6,50.3,Carolina Hurricanes
2006,Philadelphia Flyers,45,101,.616,34,41,4,263,253,3.21,3.09,18.0,79.1,16.7,83.2,31.1,28.9,49.5,Carolina Hurricanes
2006,Pittsburgh Penguins,22,58,.354,17,21,1,243,310,2.96,3.78,19.0,78.8,15.8,81.2,28.0,33.2,45.9,Carolina Hurricanes
2006,San Jose Sharks,44,99,.604,34,43,1,265,235,3.23,2.87,18.2,80.7,16.0,83.2,30.3,26.6,48.4,Carolina Hurricanes
2006,St. Louis Blues,21,57,.348,14,17,4,193,284,2.35,3.46,14.7,82.2,13.1,83.5,28.5,30.6,50.7,Carolina Hurricanes
2006,Tampa Bay Lightning,43,92,.561,31,37,6,246,256,3.00,3.12,16.7,81.5,14.4,84.4,31.6,27.6,50.1,Carolina Hurricanes
2006,Toronto Maple Leafs,41,90,.549,31,38,3,254,263,3.10,3.21,21.4,80.0,19.0,82.9,28.3,30.6,51.6,Carolina Hurricanes
2006,Vancouver Canucks,42,92,.561,34,38,4,252,251,3.07,3.06,18.3,81.8,16.4,83.0,28.8,30.1,48.1,Carolina Hurricanes
2006,Washington Capitals,29,70,.427,20,22,7,230,300,2.80,3.66,14.7,78.9,11.0,81.6,29.8,35.1,50.4,Carolina Hurricanes
2006,Winnipeg Jets,41,90.549313652762703.373.2918.979.217.181.930.830.350.1,Carolina Hurricanes
