Season,Team,Wins,Points,P%,RW,ROW,S/OW,GF,GA,GF/GP,GA/GP,PP%,PK%,NetPP%,NetPK%,Shots/GP,SA/GP,FOW%,Winner
2001,Anaheim Ducks,34,83,.506,31,34,0,217,227,2.65,2.77,16.6,79.1,14.2,80.4,28.7,27.5,49.1,New Jersey Devils
2001,Arizona Coyotes,39,90,.549,35,39,0,232,228,2.83,2.78,11.9,86.0,9.7,90.5,27.0,28.5,50.4,New Jersey Devils
2001,Boston Bruins,24,73,.445,23,24,0,210,248,2.56,3.02,14.4,79.5,13.2,79.5,30.7,27.7,49.0,New Jersey Devils
2001,Buffalo Sabres,35,85,.518,30,35,0,213,204,2.60,2.49,10.5,85.0,7.7,87.3,27.2,26.9,47.0,New Jersey Devils
2001,Calgary Flames,31,77,.470,20,31,0,211,256,2.57,3.12,17.9,79.7,15.5,80.8,30.1,29.0,49.2,New Jersey Devils
2001,Carolina Hurricanes,37,84,.512,33,37,0,217,216,2.65,2.63,17.0,84.2,14.9,85.4,26.4,26.1,50.4,New Jersey Devils
2001,Chicago Blackhawks,33,78,.476,28,33,0,242,245,2.95,2.99,16.0,83.7,12.0,86.5,25.7,29.2,47.5,New Jersey Devils
2001,Colorado Avalanche,42,96,.585,37,42,0,233,201,2.84,2.45,19.5,84.5,17.2,85.4,26.7,27.8,51.5,New Jersey Devils
2001,Dallas Stars,43,102,.622,40,43,0,211,184,2.57,2.24,15.7,89.3,13.1,92.2,25.6,26.6,52.6,New Jersey Devils
2001,Detroit Red Wings,48,108,.659,44,48,0,278,210,3.39,2.56,20.4,85.9,18.6,90.7,32.0,26.5,53.4,New Jersey Devils
2001,Edmonton Oilers,32,88,.537,28,32,0,226,212,2.76,2.59,15.8,85.4,14.6,87.8,28.2,28.3,51.1,New Jersey Devils
2001,Florida Panthers,43,98,.598,40,43,0,244,209,2.98,2.55,17.2,85.5,14.8,86.1,26.8,29.6,46.2,New Jersey Devils
2001,Los Angeles Kings,39,94,.573,34,39,0,245,228,2.99,2.78,16.9,82.3,13.5,83.4,29.5,27.9,51.8,New Jersey Devils
2001,Montreal Canadiens,35,83,.506,31,35,0,196,194,2.39,2.37,16.7,86.8,14.2,89.1,26.0,27.6,48.9,New Jersey Devils
2001,Nashville Predators,28,70,.427,24,28,0,199,240,2.43,2.93,13.5,85.1,9.9,88.0,27.0,30.5,49.1,New Jersey Devils
2001,New Jersey Devils,45,103,.628,42,45,0,251,203,3.06,2.48,20.1,87.5,16.8,90.4,33.1,25.6,49.3,New Jersey Devils
2001,New York Islanders,24,58,.354,19,24,0,194,275,2.37,3.35,14.1,80.0,11.6,81.9,26.2,33.4,47.9,New Jersey Devils
2001,New York Rangers,29,73,.445,23,29,0,218,246,2.66,3.00,16.9,83.2,14.2,84.9,29.5,29.8,53.1,New Jersey Devils
2001,Ottawa Senators,41,95,.579,39,41,0,244,210,2.98,2.56,16.8,87.6,14.2,89.7,31.5,25.2,50.4,New Jersey Devils
2001,Philadelphia Flyers,45,105,.640,39,45,0,237,179,2.89,2.18,20.3,86.7,18.2,88.9,30.4,23.6,51.7,New Jersey Devils
2001,Pittsburgh Penguins,37,88,.537,34,37,0,241,236,2.94,2.88,15.6,82.6,12.4,84.7,26.1,28.7,48.0,New Jersey Devils
2001,San Jose Sharks,35,87,.530,31,35,0,225,214,2.74,2.61,16.5,83.6,15.4,87.9,27.4,28.7,49.3,New Jersey Devils
2001,St. Louis Blues,51,114,.695,46,51,0,248,165,3.02,2.01,17.8,87.8,17.0,91.6,29.8,22.1,52.1,New Jersey Devils
2001,Tampa Bay Lightning,19,54,.329,19,19,0,204,310,2.49,3.78,14.0,80.7,12.1,83.0,25.4,30.4,50.4,New Jersey Devils
2001,Toronto Maple Leafs,45,100,.610,38,45,0,246,222,3.00,2.71,17.8,82.4,16.2,85.8,26.4,29.1,50.8,New Jersey Devils
2001,Vancouver Canucks,30,83,.506,26,30,0,227,237,2.77,2.89,15.8,80.4,13.6,83.2,26.7,28.0,49.8,New Jersey Devils
2001,Washington Capitals,44,102,.622,39,44,0,227,194,2.77,2.37,15.0,86.2,13.9,88.9,27.7,27.7,53.3,New Jersey Devils
2001,Winnipeg Jets,14,39,.238,14,14,0,170,313,2.07,3.82,12.6,80.3,8.9,81.9,25.8,31.0,46.1,New Jersey Devils
