Season,Team,Wins,Points,P%,RW,ROW,S/OW,GF,GA,GF/GP,GA/GP,PP%,PK%,NetPP%,NetPK%,Shots/GP,SA/GP,FOW%,Winner
2002,Anaheim Ducks,29,69,.421,26,29,0,175,198,2.13,2.41,11.5,86.1,9.1,87.3,26.1,27.5,51.0,Detroit Red Wings
2002,Arizona Coyotes,40,95,.579,36,40,0,228,210,2.78,2.56,15.6,83.2,13.8,85.4,26.6,28.6,48.2,Detroit Red Wings
2002,Boston Bruins,43,101,.616,34,43,0,236,201,2.88,2.45,13.8,87.1,12.0,91.1,31.7,25.1,48.0,Detroit Red Wings
2002,Buffalo Sabres,35,82,.500,31,35,0,213,200,2.60,2.44,13.3,86.5,11.7,88.8,28.0,25.9,47.4,Detroit Red Wings
2002,Calgary Flames,32,79,.482,30,32,0,201,220,2.45,2.68,15.1,81.5,13.7,84.3,26.9,27.3,52.5,Detroit Red Wings
2002,Carolina Hurricanes,35,91,.555,29,35,0,217,217,2.65,2.65,16.1,83.7,13.3,84.9,28.6,27.0,56.1,Detroit Red Wings
2002,Chicago Blackhawks,41,96,.585,38,41,0,216,207,2.63,2.52,17.9,81.5,17.2,82.7,27.7,25.3,48.0,Detroit Red Wings
2002,Colorado Avalanche,45,99,.604,41,45,0,212,169,2.59,2.06,18.0,87.0,16.0,89.2,27.5,26.5,51.4,Detroit Red Wings
2002,Columbus Blue Jackets,22,57,.348,20,22,0,164,255,2.00,3.11,14.0,83.0,11.8,84.0,25.0,30.1,50.1,Detroit Red Wings
2002,Dallas Stars,36,90,.549,33,36,0,215,213,2.62,2.60,17.1,81.5,14.9,83.7,28.5,26.0,52.8,Detroit Red Wings
2002,Detroit Red Wings,51,116,.707,41,51,0,251,187,3.06,2.28,20.3,86.0,18.4,88.6,31.0,26.3,51.4,Detroit Red Wings
2002,Edmonton Oilers,38,92,.561,35,38,0,205,182,2.50,2.22,15.3,85.6,13.2,89.1,27.5,25.9,50.4,Detroit Red Wings
2002,Florida Panthers,22,60,.366,22,22,0,180,250,2.20,3.05,14.7,80.7,12.6,82.7,26.9,32.5,46.1,Detroit Red Wings
2002,Los Angeles Kings,40,95,0.579,37,40,0,214,190,2.61,2.32,20.7,86.6,19,88,25.7,25,51.2,Detroit Red Wings
2002,Minnesota Wild,26,73,.445,26,26,0,195,238,2.38,2.90,14.8,82.9,12.3,85.9,23.8,28.0,48.5,Detroit Red Wings
2002,Montreal Canadiens,36,87,.530,34,36,0,207,209,2.52,2.55,15.0,86.3,13.6,88.8,25.5,31.7,52.8,Detroit Red Wings
2002,Nashville Predators,28,69,.421,23,28,0,196,230,2.39,2.80,14.2,85.9,11.9,87.6,24.6,28.2,47.0,Detroit Red Wings
2002,New Jersey Devils,41,95,.579,35,41,0,205,187,2.50,2.28,16.9,83.8,13.8,84.5,29.8,23.2,49.5,Detroit Red Wings
2002,New York Islanders,42,96,.585,36,42,0,239,220,2.91,2.68,16.3,85.8,13.5,90.4,28.3,27.9,51.7,Detroit Red Wings
2002,New York Rangers,36,80,.488,31,36,0,227,258,2.77,3.15,14.7,79.9,13.2,81.9,29.2,31.9,50.7,Detroit Red Wings
2002,Ottawa Senators,39,94,.573,36,39,0,243,208,2.96,2.54,16.6,84.4,15.1,88.0,30.1,25.9,50.1,Detroit Red Wings
2002,Philadelphia Flyers,42,97,.591,39,42,0,234,192,2.85,2.34,13.0,86.4,9.7,89.1,29.8,26.1,49.9,Detroit Red Wings
2002,Pittsburgh Penguins,28,69,.421,21,28,0,198,249,2.41,3.04,14.0,83.8,11.0,85.2,27.0,29.2,47.1,Detroit Red Wings
2002,San Jose Sharks,44,99,.604,42,44,0,248,199,3.02,2.43,15.7,85.8,14.1,89.8,27.2,28.5,49.0,Detroit Red Wings
2002,St. Louis Blues,43,98,.598,37,43,0,227,188,2.77,2.29,17.4,85.2,15.5,86.5,29.0,22.5,49.9,Detroit Red Wings
2002,Tampa Bay Lightning,27,69,.421,23,27,0,178,219,2.17,2.67,14.7,85.4,11.9,87.6,26.6,30.8,47.0,Detroit Red Wings
2002,Toronto Maple Leafs,43,100,.610,40,43,0,249,207,3.04,2.52,15.5,84.5,13.8,87.2,28.5,24.9,51.8,Detroit Red Wings
2002,Vancouver Canucks,42,94,.573,38,42,0,254,211,3.10,2.57,18.6,85.2,16.1,86.0,28.4,25.4,50.7,Detroit Red Wings
2002,Washington Capitals,36,85,.518,30,36,0,228,240,2.78,2.93,19.4,82.2,16.7,82.8,28.0,28.7,53.3,Detroit Red Wings
2002,Winnipeg Jets,19,54,.329,16,19,0,187,288,2.28,3.51,12.1,81.8,8.2,82.7,24.2,35.5,46.3,Detroit Red Wings
