Season,Team,Wins,Points,P%,RW,ROW,S/OW,GF,GA,GF/GP,GA/GP,PP%,PK%,NetPP%,NetPK%,Shots/GP,SA/GP,FOW%,Winner
2001,Anaheim Ducks,25,66,.402,21,25,0,188,245,2.29,2.99,17.7,81.8,14.2,83.3,25.9,29.5,48.3,Colorado Avalanche
2001,Arizona Coyotes,35,90,.549,32,35,0,214,212,2.61,2.59,16.6,85.2,14.9,87.3,25.1,29.6,49.8,Colorado Avalanche
2001,Boston Bruins,36,88,.537,32,36,0,227,249,2.77,3.04,16.4,82.8,14.6,84.9,28.8,26.7,49.2,Colorado Avalanche
2001,Buffalo Sabres,46,98,.598,42,46,0,218,184,2.66,2.24,16.1,88.0,14.8,89.8,26.9,26.8,50.0,Colorado Avalanche
2001,Calgary Flames,27,73,.445,24,27,0,197,236,2.40,2.88,14.9,79.9,12.4,80.7,27.2,27.1,51.6,Colorado Avalanche
2001,Carolina Hurricanes,38,88,.537,32,38,0,212,225,2.59,2.74,18.9,87.2,14.7,88.9,27.0,26.9,54.9,Colorado Avalanche
2001,Chicago Blackhawks,29,71,.433,27,29,0,210,246,2.56,3.00,12.9,83.9,9.1,88.5,26.3,26.7,49.9,Colorado Avalanche
2001,Colorado Avalanche,52,118,.720,46,52,0,270,192,3.29,2.34,22.0,82.8,19.0,86.0,29.2,25.1,51.3,Colorado Avalanche
2001,Columbus Blue Jackets,28,71,.433,25,28,0,190,233,2.32,2.84,14.7,80.7,12.6,81.5,25.4,30.2,50.5,Colorado Avalanche
2001,Dallas Stars,48,106,.646,42,48,0,241,187,2.94,2.28,19.6,86.2,17.7,88.2,25.6,24.0,51.2,Colorado Avalanche
2001,Detroit Red Wings,49,111,.677,39,49,0,253,202,3.09,2.46,22.1,85.7,20.3,88.3,32.3,27.1,54.4,Colorado Avalanche
2001,Edmonton Oilers,39,93,.568,34,39,0,243,222,2.96,2.71,14.8,83.8,13.8,87.2,26.2,26.1,51.1,Colorado Avalanche
2001,Florida Panthers,22,66,.402,20,22,0,200,246,2.44,3.00,13.0,83.9,9.4,85.9,26.5,31.2,48.5,Colorado Avalanche
2001,Los Angeles Kings,38,92,.561,35,38,0,252,228,3.07,2.78,19.4,81.2,17.7,84.8,27.9,26.3,50.7,Colorado Avalanche
2001,Minnesota Wild,25,68,.415,21,25,0,168,210,2.05,2.56,9.6,84.7,5.9,88.2,24.6,28.1,48.1,Colorado Avalanche
2001,Montreal Canadiens,28,70,.427,26,28,0,206,232,2.51,2.83,16.2,82.2,15.4,83.7,26.2,28.0,49.5,Colorado Avalanche
2001,Nashville Predators,34,80,.488,29,34,0,186,200,2.27,2.44,14.1,85.2,13.0,87.3,26.6,28.6,48.4,Colorado Avalanche
2001,New Jersey Devils,48,111,.677,43,48,0,295,195,3.60,2.38,22.9,84.7,21.0,87.5,31.6,24.7,49.4,Colorado Avalanche
2001,New York Islanders,21,52,.317,19,21,0,185,268,2.26,3.27,13.2,82.3,9.6,84.3,27.5,29.0,48.7,Colorado Avalanche
2001,New York Rangers,33,72,.439,28,33,0,250,290,3.05,3.54,17.9,78.5,14.6,82.5,28.6,31.4,51.2,Colorado Avalanche
2001,Ottawa Senators,48,109,.665,45,48,0,274,205,3.34,2.50,18.6,86.4,17.3,89.2,30.2,27.3,48.6,Colorado Avalanche
2001,Philadelphia Flyers,43,100,.610,38,43,0,240,207,2.93,2.52,15.7,82.5,13.1,86.0,29.9,26.1,50.3,Colorado Avalanche
2001,Pittsburgh Penguins,42,96,.585,39,42,0,281,256,3.43,3.12,20.3,80.7,17.3,82.5,29.2,29.2,46.7,Colorado Avalanche
2001,San Jose Sharks,40,95,.579,33,40,0,217,192,2.65,2.34,14.0,86.2,11.6,88.0,27.6,26.5,48.3,Colorado Avalanche
2001,St. Louis Blues,43,103,.628,37,43,0,249,195,3.04,2.38,18.7,85.4,16.9,89.2,30.4,23.6,51.9,Colorado Avalanche
2001,Tampa Bay Lightning,24,59,.360,22,24,0,201,280,2.45,3.41,12.5,82.9,9.9,85.1,24.6,31.2,46.9,Colorado Avalanche
2001,Toronto Maple Leafs,37,90,.549,34,37,0,232,207,2.83,2.52,16.1,85.0,13.5,85.5,27.8,27.4,52.8,Colorado Avalanche
2001,Vancouver Canucks,36,90,.549,31,36,0,239,238,2.91,2.90,17.1,80.9,14.4,84.0,29.7,25.9,46.9,Colorado Avalanche
2001,Washington Capitals,41,96,.585,39,41,0,233,211,2.84,2.57,21.3,84.1,18.3,85.7,28.6,27.7,55.2,Colorado Avalanche
2001,Winnipeg Jets,23,60,.366,21,23,0,211,289,2.57,3.52,13.7,77.9,11.7,80.2,27.9,32.4,46.1,Colorado Avalanche
