Season,Team,Wins,Points,P%,RW,ROW,S/OW,GF,GA,GF/GP,GA/GP,PP%,PK%,NetPP%,NetPK%,Shots/GP,SA/GP,FOW%,Winner
2001,Anaheim Ducks,40,95,.579,34,40,0,203,193,2.48,2.35,16.1,87.4,14.7,89.8,27.4,29.0,55.2,New Jersey Devils
2001,Arizona Coyotes,31,78,.476,27,31,0,204,230,2.49,2.80,14.3,81.3,11.4,82.3,28.0,30.0,46.6,New Jersey Devils
2001,Boston Bruins,36,87,.530,30,36,0,245,237,2.99,2.89,18.2,82.7,14.8,85.3,32.1,28.3,49.6,New Jersey Devils
2001,Buffalo Sabres,27,72,.439,24,27,0,190,219,2.32,2.67,14.4,85.4,11.3,87.6,28.6,28.0,50.1,New Jersey Devils
2001,Calgary Flames,29,75,.457,23,29,0,186,228,2.27,2.78,12.1,83.3,9.5,84.6,28.5,27.1,53.9,New Jersey Devils
2001,Carolina Hurricanes,22,61,.372,20,22,0,171,240,2.09,2.93,13.8,81.9,11.7,83.4,29.4,28.4,52.9,New Jersey Devils
2001,Chicago Blackhawks,30,79,.482,26,30,0,207,226,2.52,2.76,12.7,84.8,10.1,87.0,27.8,28.6,50.1,New Jersey Devils
2001,Colorado Avalanche,42,105,.640,35,42,0,251,194,3.06,2.37,18.7,82.5,17.1,83.8,29.1,28.3,47.9,New Jersey Devils
2001,Columbus Blue Jackets,29,69,.421,25,29,0,213,263,2.60,3.21,17.3,85.3,15.1,88.3,26.1,32.2,48.6,New Jersey Devils
2001,Dallas Stars,46,111,.677,41,46,0,245,169,2.99,2.06,19.0,85.6,17.1,88.2,30.1,25.3,50.2,New Jersey Devils
2001,Detroit Red Wings,48,110,.671,41,48,0,269,203,3.28,2.48,23.8,85.4,22.6,88.3,29.8,28.8,52.2,New Jersey Devils
2001,Edmonton Oilers,36,92,.561,29,36,0,231,230,2.82,2.80,14.5,82.6,12.4,86.3,28.0,27.4,51.1,New Jersey Devils
2001,Florida Panthers,24,70,.427,20,24,0,176,237,2.15,2.89,14.1,81.5,11.5,83.4,27.2,33.2,46.2,New Jersey Devils
2001,Los Angeles Kings,33,78,.476,27,33,0,203,221,2.48,2.70,14.7,83.3,13.5,85.5,27.7,26.1,49.0,New Jersey Devils
2001,Minnesota Wild,42,95,.579,34,42,0,198,178,2.41,2.17,14.2,86.0,12.8,89.0,25.4,28.5,46.8,New Jersey Devils
2001,Montreal Canadiens,30,77,.470,28,30,0,206,234,2.51,2.85,14.0,81.7,12.1,82.3,25.8,32.7,52.7,New Jersey Devils
2001,Nashville Predators,27,74,.451,22,27,0,183,206,2.23,2.51,13.9,82.7,12.0,83.3,28.2,27.5,48.5,New Jersey Devils
2001,New Jersey Devils,46,108,.659,38,46,0,216,166,2.63,2.02,11.9,87.9,10.6,90.5,31.7,23.6,50.7,New Jersey Devils
2001,New York Islanders,35,83,.506,30,35,0,224,231,2.73,2.82,15.1,83.5,13.8,86.4,29.6,28.3,51.1,New Jersey Devils
2001,New York Rangers,32,78,.476,26,32,0,210,231,2.56,2.82,16.2,81.2,13.9,83.3,30.1,29.6,53.3,New Jersey Devils
2001,Ottawa Senators,52,113,.689,45,52,0,263,182,3.21,2.22,21.2,84.9,19.2,86.1,29.8,24.8,47.1,New Jersey Devils
2001,Philadelphia Flyers,45,107,.652,39,45,0,211,166,2.57,2.02,14.3,85.2,11.9,87.6,30.9,24.6,52.2,New Jersey Devils
2001,Pittsburgh Penguins,27,65,.396,24,27,0,189,255,2.30,3.11,18.3,83.5,15.6,84.4,25.4,30.9,49.5,New Jersey Devils
2001,San Jose Sharks,28,73,.445,26,28,0,214,239,2.61,2.91,18.1,81.0,15.5,82.4,28.1,29.2,50.3,New Jersey Devils
2001,St. Louis Blues,41,99,.604,35,41,0,253,222,3.09,2.71,20.5,81.8,18.7,84.6,28.1,25.0,49.0,New Jersey Devils
2001,Tampa Bay Lightning,36,93,.567,34,36,0,219,210,2.67,2.56,17.9,82.6,16.6,84.5,29.2,28.0,50.2,New Jersey Devils
2001,Toronto Maple Leafs,44,98,.598,37,44,0,236,208,2.88,2.54,17.6,86.9,15.6,89.4,26.3,29.5,50.7,New Jersey Devils
2001,Vancouver Canucks,45,104,.634,40,45,0,264,208,3.22,2.54,20.7,84.1,18.3,87.2,29.1,26.6,49.8,New Jersey Devils
2001,Washington Capitals,39,92,.561,33,39,0,224,220,2.73,2.68,17.2,81.3,16.0,83.3,27.1,29.9,49.2,New Jersey Devils
2001,Winnipeg Jets,31,74,.451,24,31,0,226,284,2.76,3.46,17.3,81.7,13.5,83.9,26.4,31.6,45.9,New Jersey Devils
